episode,reward,score,steps,loss,epsilon
0,-1.0,0,1,0.0,1.0
1,-1.13,0,14,0.0,0.995
2,-1.01,0,2,0.0,0.990025
3,-1.06,0,7,0.0,0.985074875
4,-1.0,0,1,0.0,0.9801495006250001
5,-1.03,0,4,0.0,0.9752487531218751
6,-1.04,0,5,0.0,0.9703725093562657
7,-1.1,0,11,0.0,0.9655206468094844
8,-1.03,0,4,0.0,0.960693043575437
9,-1.01,0,2,0.0,0.9558895783575597
10,-1.15,0,16,0.13482965156435966,0.9511101304657719
11,-1.01,0,2,0.12143846228718758,0.946354579813443
12,-1.17,0,18,0.13058363273739815,0.9416228069143757
13,-1.0,0,1,0.11371559649705887,0.9369146928798039
14,-1.04,0,5,0.115923573076725,0.9322301194154049
15,-1.0,0,1,0.1117531806230545,0.9275689688183278
16,-1.01,0,2,0.13556936383247375,0.9229311239742362
17,-1.0,0,1,0.13617686927318573,0.918316468354365
18,-1.0,0,1,0.09682366251945496,0.9137248860125932
19,-1.0,0,1,0.16005973517894745,0.9091562615825302
20,-1.05,0,6,0.13113327076037726,0.9046104802746175
21,-1.02,0,3,0.13167411088943481,0.9000874278732445
22,-1.08,0,9,0.13607570860120985,0.8955869907338783
23,-1.01,0,2,0.08244947344064713,0.8911090557802088
24,-1.04,0,5,0.10382877886295319,0.8866535105013078
25,-1.06,0,7,0.11310001462697983,0.8822202429488013
26,-1.05,0,6,0.09307373998065789,0.8778091417340573
27,-1.01,0,2,0.09771907329559326,0.8734200960253871
28,-1.02,0,3,0.0893562560280164,0.8690529955452602
29,-1.0,0,1,0.0896393284201622,0.8647077305675338
30,-1.02,0,3,0.08011967440446217,0.8603841919146962
31,-1.02,0,3,0.07411121080319087,0.8560822709551227
32,-1.05,0,6,0.06000441312789917,0.851801859600347
33,-1.01,0,2,0.08392783999443054,0.8475428503023453
34,-1.01,0,2,0.0505678653717041,0.8433051360508336
35,-1.01,0,2,0.05962144769728184,0.8390886103705794
36,-1.03,0,4,0.06447204574942589,0.8348931673187264
37,-1.0,0,1,0.055546581745147705,0.8307187014821328
38,-1.01,0,2,0.06145857460796833,0.8265651079747222
39,-1.02,0,3,0.057053353637456894,0.8224322824348486
40,-1.01,0,2,0.053784776479005814,0.8183201210226743
41,-1.03,0,4,0.04875048343092203,0.8142285204175609
42,-1.04,0,5,0.04826476722955704,0.810157377815473
43,-1.07,0,8,0.053800083231180906,0.8061065909263957
44,-1.1199999999999999,0,13,0.04332295361046608,0.8020760579717637
45,-1.07,0,8,0.04118810594081879,0.798065677681905
46,-1.02,0,3,0.032140412678321205,0.7940753492934954
47,-1.08,0,9,0.03330730460584164,0.7901049725470279
48,-1.02,0,3,0.03145424400766691,0.7861544476842928
49,-1.1199999999999999,0,13,0.028242606812944777,0.7822236754458713
50,-1.01,0,2,0.03276904858648777,0.778312557068642
51,-1.03,0,4,0.02918740827590227,0.7744209942832988
52,-1.05,0,6,0.03449877041081587,0.7705488893118823
53,-1.03,0,4,0.028936012648046017,0.7666961448653229
54,-1.0,0,1,0.027972709387540817,0.7628626641409962
55,-1.05,0,6,0.026185762447615463,0.7590483508202912
56,-1.0,0,1,0.029016701504588127,0.7552531090661897
57,-1.02,0,3,0.032851073890924454,0.7514768435208588
58,-1.01,0,2,0.021250036545097828,0.7477194593032545
59,-1.02,0,3,0.02462673249344031,0.7439808620067382
60,-1.06,0,7,0.02734813466668129,0.7402609576967045
61,-1.0,0,1,0.020747235044836998,0.736559652908221
62,-1.0,0,1,0.029888205230236053,0.7328768546436799
63,-1.01,0,2,0.03626182675361633,0.7292124703704616
64,-1.03,0,4,0.0247966842725873,0.7255664080186093
65,-1.07,0,8,0.022736366256140172,0.7219385759785162
66,-1.08,0,9,0.025425076484680176,0.7183288830986236
67,-1.09,0,10,0.02588460557162762,0.7147372386831305
68,-1.01,0,2,0.03038083389401436,0.7111635524897149
69,-1.09,0,10,0.02648543305695057,0.7076077347272662
70,-1.0,0,1,0.020689651370048523,0.7040696960536299
71,-1.19,0,20,0.021145768696442246,0.7005493475733617
72,-1.04,0,5,0.02276918776333332,0.697046600835495
73,-1.01,0,2,0.016635848209261894,0.6935613678313175
74,-1.01,0,2,0.016670162323862314,0.6900935609921609
75,-1.09,0,10,0.01732676140964031,0.6866430931872001
76,-1.02,0,3,0.017954080055157345,0.6832098777212641
77,-1.02,0,3,0.020879709472258885,0.6797938283326578
78,-1.03,0,4,0.022322069853544235,0.6763948591909945
79,-1.02,0,3,0.018687319320936997,0.6730128848950395
80,-1.02,0,3,0.015271923194328943,0.6696478204705644
81,-1.05,0,6,0.0222126020429035,0.6662995813682115
82,-1.0,0,1,0.026434356346726418,0.6629680834613705
83,-1.0,0,1,0.027722332626581192,0.6596532430440636
84,-1.0,0,1,0.01699845679104328,0.6563549768288433
85,-1.02,0,3,0.01920816736916701,0.653073201944699
86,-1.02,0,3,0.019414904216925304,0.6498078359349755
87,-1.05,0,6,0.019486365529398125,0.6465587967553006
88,-1.04,0,5,0.020722533017396925,0.6433260027715241
89,-1.1,0,11,0.019031163051047108,0.6401093727576664
90,-1.04,0,5,0.013612274453043938,0.6369088258938781
91,-1.02,0,3,0.010877858226497969,0.6337242817644086
