episode,reward,score,steps,loss,epsilon
0,-1.02,0,3,0.0,1.0
1,-1.0,0,1,0.0,0.95
2,-1.07,0,8,0.0,0.9025
3,-1.01,0,2,0.0,0.8573749999999999
4,-1.03,0,4,0.0,0.8145062499999999
5,-1.0,0,1,0.0,0.7737809374999999
6,-1.0,0,1,0.0,0.7350918906249998
7,-1.0,0,1,0.0,0.6983372960937497
8,-1.0,0,1,0.0,0.6634204312890623
9,-1.0,0,1,0.0,0.6302494097246091
10,-1.0,0,1,0.0,0.5987369392383786
11,-1.0,0,1,0.0,0.5688000922764596
12,-1.02,0,3,0.0,0.5403600876626365
13,-1.0,0,1,0.0,0.5133420832795047
14,-1.0,0,1,0.0,0.48767497911552943
15,-1.0,0,1,0.0,0.46329123015975293
16,-1.0,0,1,0.0,0.44012666865176525
17,-1.0,0,1,0.0,0.41812033521917696
18,-1.0,0,1,0.0,0.3972143184582181
19,-1.0,0,1,0.0,0.37735360253530714
20,-1.0,0,1,0.0,0.35848592240854177
21,-1.0,0,1,0.0,0.34056162628811465
22,-1.0,0,1,0.0,0.3235335449737089
23,-1.07,0,8,0.0,0.30735686772502346
24,-1.0,0,1,0.0,0.2919890243387723
25,-1.15,0,16,0.0,0.27738957312183365
26,-1.14,0,15,0.37195276816685996,0.263520094465742
27,-1.23,0,24,0.2171825443704923,0.25034408974245487
28,-1.04,0,5,0.12982843071222305,0.2378268852553321
29,-1.1,0,11,0.09937414188276637,0.2259355409925655
