episode,reward,score,steps,loss,epsilon
0,-1.04,0,5,0.0,1.0
1,-1.01,0,2,0.0,0.95
2,-1.01,0,2,0.0,0.9025
3,-1.01,0,2,0.0,0.8573749999999999
4,-1.04,0,5,0.0,0.8145062499999999
5,-1.0,0,1,0.0,0.7737809374999999
6,-1.06,0,7,0.0,0.7350918906249998
7,-1.04,0,5,0.0,0.6983372960937497
8,-1.0,0,1,0.0,0.6634204312890623
9,-1.27,0,28,0.0,0.6302494097246091
10,-1.09,0,10,0.15112458169460297,0.5987369392383786
11,-1.04,0,5,0.14839380383491516,0.5688000922764596
12,-1.06,0,7,0.13945674364055907,0.5403600876626365
13,-1.07,0,8,0.12297847401350737,0.5133420832795047
14,-1.03,0,4,0.11149992421269417,0.48767497911552943
15,-1.0,0,1,0.12880843877792358,0.46329123015975293
16,-1.06,0,7,0.09679190495184489,0.44012666865176525
17,-1.02,0,3,0.0981728807091713,0.41812033521917696
18,-1.01,0,2,0.0916399285197258,0.3972143184582181
19,-1.03,0,4,0.09379762224853039,0.37735360253530714
20,-1.03,0,4,0.08854012377560139,0.35848592240854177
21,-1.0,0,1,0.09148775041103363,0.34056162628811465
22,-1.04,0,5,0.07566350921988488,0.3235335449737089
23,-1.05,0,6,0.06732762108246486,0.30735686772502346
24,-1.07,0,8,0.059976665768772364,0.2919890243387723
25,-1.21,0,22,0.041446446695111015,0.27738957312183365
26,-1.01,0,2,0.03982721269130707,0.263520094465742
27,-1.04,0,5,0.027072420716285704,0.25034408974245487
28,-1.22,0,23,0.021874264935436455,0.2378268852553321
29,-1.04,0,5,0.018689980357885362,0.2259355409925655
30,-1.07,0,8,0.01899464672897011,0.2146387639429372
31,-1.3900000000000001,0,40,0.008650266984477639,0.20390682574579033
32,-1.02,0,3,0.008273110181714097,0.1937114844585008
33,-1.04,0,5,0.0035010568099096417,0.18402591023557577
34,-1.4200000000000002,0,43,0.004415969989739012,0.17482461472379698
35,-1.18,0,19,0.003324753414888523,0.16608338398760714
36,-1.04,0,5,0.006846044212579727,0.15777921478822676
37,-1.08,0,9,0.008482430945150554,0.14989025404881542
38,-1.1199999999999999,0,13,0.003370052776657618,0.14239574134637464
39,-1.02,0,3,0.005878044913212459,0.1352759542790559
40,-1.35,0,36,0.003724468519471379,0.1285121565651031
41,-1.03,0,4,0.006821914299507625,0.12208654873684793
42,-1.15,0,16,0.005759834646596573,0.11598222130000553
43,-1.07,0,8,0.003380398702574894,0.11018311023500525
44,-1.08,0,9,0.006155244229982297,0.10467395472325498
45,-1.01,0,2,0.0022956128232181072,0.1
