episode,reward,score,steps,loss,epsilon
0,-1.01,0,2,0.0,1.0
1,-1.0,0,1,0.0,0.995
2,-1.0,0,1,0.0,0.990025
3,-1.02,0,3,0.0,0.985074875
4,-1.0,0,1,0.0,0.9801495006250001
5,-1.0,0,1,0.0,0.9752487531218751
6,-1.1199999999999999,0,13,0.0,0.9703725093562657
7,-1.02,0,3,0.0,0.9655206468094844
8,-1.0,0,1,0.0,0.960693043575437
9,-1.02,0,3,0.0,0.9558895783575597
10,-1.01,0,2,0.0,0.9511101304657719
11,-1.01,0,2,0.0,0.946354579813443
12,-1.01,0,2,0.0,0.9416228069143757
13,-1.13,0,14,0.0,0.9369146928798039
14,-1.01,0,2,0.0,0.9322301194154049
15,-1.04,0,5,0.0,0.9275689688183278
16,-1.01,0,2,0.0,0.9229311239742362
17,-1.03,0,4,0.0,0.918316468354365
18,-1.1,0,11,0.21763297766447068,0.9137248860125932
19,-1.04,0,5,0.16976397931575776,0.9091562615825302
20,-1.02,0,3,0.19089136521021524,0.9046104802746175
21,-1.01,0,2,0.1588905304670334,0.9000874278732445
22,-1.02,0,3,0.1797033300002416,0.8955869907338783
23,-1.0,0,1,0.1612900197505951,0.8911090557802088
24,-1.01,0,2,0.17178118973970413,0.8866535105013078
25,-1.07,0,8,0.15711800195276737,0.8822202429488013
26,-1.02,0,3,0.16056903700033823,0.8778091417340573
27,-1.02,0,3,0.15401834746201834,0.8734200960253871
28,-1.03,0,4,0.1401979848742485,0.8690529955452602
29,-1.0,0,1,0.16444474458694458,0.8647077305675338
30,-1.02,0,3,0.1383181487520536,0.8603841919146962
31,-1.03,0,4,0.11878838576376438,0.8560822709551227
32,-1.16,0,17,0.10590940231786054,0.851801859600347
33,-1.0,0,1,0.08749887347221375,0.8475428503023453
34,-1.01,0,2,0.07413414493203163,0.8433051360508336
35,-1.05,0,6,0.07282924093306065,0.8390886103705794
36,-1.0,0,1,0.04542398452758789,0.8348931673187264
37,-1.03,0,4,0.055107276886701584,0.8307187014821328
38,-1.0,0,1,0.05877672880887985,0.8265651079747222
39,-1.06,0,7,0.05604757794312069,0.8224322824348486
40,-1.02,0,3,0.053450038035710655,0.8183201210226743
41,-1.04,0,5,0.04596457481384277,0.8142285204175609
42,-1.04,0,5,0.0463597297668457,0.810157377815473
43,-1.04,0,5,0.03769507557153702,0.8061065909263957
44,-1.0,0,1,0.04326743632555008,0.8020760579717637
45,-1.02,0,3,0.05250981698433558,0.798065677681905
46,-1.0,0,1,0.053553421050310135,0.7940753492934954
47,-1.0,0,1,0.0384199321269989,0.7901049725470279
48,-1.14,0,15,0.037370231747627256,0.7861544476842928
49,-1.01,0,2,0.05133263021707535,0.7822236754458713
50,-1.05,0,6,0.034609562096496425,0.778312557068642
51,-1.05,0,6,0.04307040416946014,0.7744209942832988
52,-1.03,0,4,0.05151130631566048,0.7705488893118823
53,-1.01,0,2,0.03312711324542761,0.7666961448653229
54,-1.0,0,1,0.03980296850204468,0.7628626641409962
55,-1.0,0,1,0.03709283843636513,0.7590483508202912
56,-1.0,0,1,0.04825503006577492,0.7552531090661897
57,-1.0,0,1,0.04238852858543396,0.7514768435208588
58,-1.0,0,1,0.03371268883347511,0.7477194593032545
59,-1.0,0,1,0.03422090411186218,0.7439808620067382
60,-1.09,0,10,0.03972387872636318,0.7402609576967045
61,-1.02,0,3,0.039743601034084954,0.736559652908221
62,-1.07,0,8,0.031687650829553604,0.7328768546436799
63,-1.01,0,2,0.030761530622839928,0.7292124703704616
64,-1.02,0,3,0.036244530230760574,0.7255664080186093
65,-1.1199999999999999,0,13,0.036561825670875035,0.7219385759785162
66,-1.01,0,2,0.03857946768403053,0.7183288830986236
67,-1.26,0,27,0.026588190002021967,0.7147372386831305
68,-1.02,0,3,0.026982576896746952,0.7111635524897149
69,-1.04,0,5,0.0691285103559494,0.7076077347272662
70,-1.02,0,3,0.056194198628266655,0.7040696960536299
71,-1.03,0,4,0.06970832962542772,0.7005493475733617
72,-1.08,0,9,0.04764281979037656,0.697046600835495
73,-1.06,0,7,0.03478783741593361,0.6935613678313175
74,-1.05,0,6,0.03666602695981661,0.6900935609921609
75,-1.03,0,4,0.03568298276513815,0.6866430931872001
76,-1.02,0,3,0.03740718960762024,0.6832098777212641
77,-1.04,0,5,0.042475612461566926,0.6797938283326578
78,-1.0,0,1,0.05532151460647583,0.6763948591909945
79,-1.0,0,1,0.04031743109226227,0.6730128848950395
80,-1.03,0,4,0.027105988934636116,0.6696478204705644
81,-1.04,0,5,0.02603096030652523,0.6662995813682115
82,-1.03,0,4,0.047523533925414085,0.6629680834613705
83,-1.02,0,3,0.036762005339066185,0.6596532430440636
84,-1.06,0,7,0.03965068528694766,0.6563549768288433
85,-1.06,0,7,0.03955688487206187,0.653073201944699
86,-1.08,0,9,0.035697273496124476,0.6498078359349755
87,-1.0,0,1,0.028864648193120956,0.6465587967553006
88,-1.03,0,4,0.026363065466284752,0.6433260027715241
89,-1.07,0,8,0.03192431479692459,0.6401093727576664
90,-1.0,0,1,0.03823171928524971,0.6369088258938781
91,-1.07,0,8,0.0355467121116817,0.6337242817644086
92,-1.05,0,6,0.02128964165846507,0.6305556603555866
93,-1.04,0,5,0.019186509400606157,0.6274028820538087
94,-1.01,0,2,0.01664265152066946,0.6242658676435396
95,-1.01,0,2,0.02240417618304491,0.6211445383053219
96,-1.02,0,3,0.0270541924983263,0.6180388156137953
97,-1.13,0,14,0.02068917945559536,0.6149486215357263
98,-1.04,0,5,0.0204662399366498,0.6118738784280476
99,-1.0,0,1,0.02134263515472412,0.6088145090359074
100,-1.01,0,2,0.019993308931589127,0.6057704364907278
101,-1.08,0,9,0.021702241256005235,0.6027415843082742
102,-1.02,0,3,0.015635024135311443,0.5997278763867329
103,-1.1,0,11,0.01654892423274842,0.5967292370047992
104,-1.03,0,4,0.01768573559820652,0.5937455908197752
105,-1.03,0,4,0.015105569269508123,0.5907768628656763
106,-1.04,0,5,0.019050562754273415,0.5878229785513479
107,-1.05,0,6,0.018892122122148674,0.5848838636585911
108,-1.04,0,5,0.019069115817546844,0.5819594443402982
109,-1.18,0,19,0.016525223115949256,0.5790496471185967
110,-1.06,0,7,0.019105678025100912,0.5761543988830038
111,-1.1199999999999999,0,13,0.017754413187503815,0.5732736268885887
112,-1.05,0,6,0.0160166520314912,0.5704072587541458
113,-1.01,0,2,0.02066192589700222,0.567555222460375
114,-1.03,0,4,0.01633800659328699,0.5647174463480732
115,-1.02,0,3,0.018574831386407215,0.5618938591163328
116,-1.14,0,15,0.019133331502477327,0.5590843898207511
117,-1.05,0,6,0.013826179318130016,0.5562889678716474
118,-1.0,0,1,0.024045731872320175,0.5535075230322891
119,-1.16,0,17,0.016194202991969445,0.5507399854171277
120,-1.01,0,2,0.013070852030068636,0.547986285490042
121,-1.05,0,6,0.014463915334393581,0.5452463540625918
122,-1.08,0,9,0.013949622814026143,0.5425201222922789
123,-1.07,0,8,0.013249473180621862,0.5398075216808175
124,-1.07,0,8,0.01668086217250675,0.5371084840724134
125,-1.04,0,5,0.009809119440615178,0.5344229416520513
126,-1.01,0,2,0.013907323125749826,0.531750826943791
127,-1.1099999999999999,0,12,0.011706155453187725,0.5290920728090721
128,-1.0,0,1,0.026145203039050102,0.5264466124450268
129,-1.18,0,19,0.011717145600797315,0.5238143793828016
130,-1.05,0,6,0.012151138313735524,0.5211953074858876
131,-1.02,0,3,0.010182356151441732,0.5185893309484582
132,-1.23,0,24,0.013593238273945948,0.5159963842937159
133,-1.03,0,4,0.02243975456804037,0.5134164023722473
134,-1.05,0,6,0.04197167046368122,0.510849320360386
135,-1.0,0,1,0.009788229130208492,0.5082950737585841
136,-1.01,0,2,0.0240975646302104,0.5057535983897912
137,-1.0,0,1,0.011655070818960667,0.5032248303978422
138,-1.01,0,2,0.027531801722943783,0.500708706245853
139,-1.03,0,4,0.024023071629926562,0.4982051627146237
140,-1.06,0,7,0.020721869011010443,0.49571413690105054
141,-1.01,0,2,0.016077694483101368,0.4932355662165453
142,-1.1,0,11,0.01718646651980552,0.4907693883854626
143,-1.0,0,1,0.02048380672931671,0.4883155414435353
144,-1.02,0,3,0.017425733618438244,0.4858739637363176
145,-1.04,0,5,0.013904364965856075,0.483444593917636
146,-1.03,0,4,0.018929256591945887,0.4810273709480478
147,-1.08,0,9,0.01820712795274125,0.47862223409330756
148,-1.04,0,5,0.011820818856358528,0.47622912292284103
149,-1.02,0,3,0.01308173406869173,0.4738479773082268
150,-1.0,0,1,0.016678152605891228,0.47147873742168567
151,-1.01,0,2,0.01334467763081193,0.46912134373457726
152,-1.03,0,4,0.013058173470199108,0.46677573701590436
153,-1.13,0,14,0.014582251830558692,0.46444185833082485
154,-1.14,0,15,0.012394512072205544,0.46211964903917074
155,-1.09,0,10,0.011941076535731555,0.4598090507939749
156,-1.03,0,4,0.009023141348734498,0.457510005540005
157,-1.08,0,9,0.011086867656558752,0.45522245551230495
158,-1.1199999999999999,0,13,0.009053334235571898,0.4529463432347434
159,-1.02,0,3,0.009615332509080568,0.4506816115185697
160,-1.04,0,5,0.0073175404220819475,0.4484282034609769
161,-1.0,0,1,0.007275138515979052,0.446186062443672
162,-1.28,0,29,0.0076942245379604144,0.4439551321314536
163,-1.03,0,4,0.006557012326084077,0.4417353564707963
164,-1.08,0,9,0.010725607060723834,0.43952667968844233
165,-1.08,0,9,0.007697994769033458,0.43732904629000013
166,-1.03,0,4,0.010182564612478018,0.4351424010585501
167,-1.13,0,14,0.007155898359737226,0.43296668905325736
168,-1.03,0,4,0.006070631090551615,0.43080185560799106
169,-1.07,0,8,0.006118914519902319,0.4286478463299511
170,-1.13,0,14,0.00690180785022676,0.42650460709830135
